unit,hhtyp,indic_il,geo\time	2022 	2021 	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 
EUR,A1_DCH,MEI_E,HU	5007 b	4768 	4191 	4556 	3058 	2797 	2517 	2591 	2984 	2689 	3091 	2785 	2417 	2708 	2377 	2155 	2506 	2114 	: 	: 
EUR,A1_DCH,MEI_E,IE	11318 b	9842 	9962 b	10773 	12551 	7148 	6171 	6494 	6429 	6550 	6379 	5939 	5971 	5204 	7259 	7458 	8085 	5773 	4590 	5867 
EUR,A1_DCH,MEI_E,IS	: 	: 	: 	: 	23471 	20638 	15410 	13727 	11636 	12357 	9921 	8959 	8987 	13255 	19531 	17731 	17398 	14971 	14073 	: 
EUR,A1_DCH,MEI_E,IT	12883 b	11722 	12810 	12590 	12473 	11920 	11945 	11009 	11338 	11143 	11003 	10661 	10473 	10966 	10625 	11392 	11327 	10407 	10518 	: 
EUR,A1_DCH,MEI_E,LT	6312 b	5874 	4949 	4777 	4484 	3633 	3607 	3102 	3503 	3470 	3019 	2466 	2570 	2791 	2559 	2150 	1715 	1465 	: 	: 
EUR,A1_DCH,MEI_E,LU	35391 b	27631 b	24963 b	20963 	22747 	19019 	17312 b	18882 	18473 	15811 	15757 	15651 	15712 	13660 	15147 	15704 	14798 	17463 	18341 	18924 
EUR,A1_DCH,MEI_E,LV	7273 b	6650 	7231 	6321 	5199 	4714 	4482 	4158 	3658 	3356 	3052 	2948 	3166 	3872 	3507 	2388 	1841 	1581 	: 	: 
EUR,A1_DCH,MEI_E,ME	2270 	1999 	2563 	2612 	2605 	2524 	2886 	2130 	1955 	2174 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,A1_DCH,MEI_E,MK	: 	: 	1739 	1342 	1691 	1524 	1293 	1579 	1541 	1676 	1156 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,A1_DCH,MEI_E,MT	11182 b	9180 	9825 	8009 	8768 	7898 	7178 	6895 	5205 	4824 	4236 	4563 	3393 	3464 	3344 	3806 	3511 	4338 	: 	: 
EUR,A1_DCH,MEI_E,NL	16720 b	15271 	13763 	13488 	13539 	13087 	12153 b	11080 	12515 	11785 	10716 	10160 	10397 	10429 	9876 	8912 	7583 	7315 	: 	: 
