A1,MED_E,NAC,HR	40800 	38040 	37200 	35600 	32400 	30000 	30800 	30000 	30000 	29400 	29160 	28800 	30000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A1,MED_E,NAC,HU	2009715 	1915300 	1679609 	1516200 	1419273 	1365000 	1322153 	1272480 	1226600 	1162744 	1131997 	1087560 	1067719 	1056250 	972140 	900000 	814200 	770000 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A1,MED_E,NAC,IE	20459 	19976 	19942 b	18439 	16807 	15821 	14713 	14562 	14930 	14155 	14498 	14919 	14823 	15304 	15466 	14182 	12508 	11679 	10447 	9653 b	7239 	6598 	6751 	5989 	5871 	5483 	5264 
A1,MED_E,NAC,IS	: 	: 	: 	: 	3919105 	3600938 	3287675 	2936493 	2834283 	2681322 	2536907 	2377256 	2459814 	2470598 	2228775 	2043082 	1893092 	1563957 	1466439 	: 	: 	: 	: 	: 	: 	: 	: 
A1,MED_E,NAC,IT	17392 	16861 	16519 	16375 	16322 	15958 	15828 	15434 	15360 	14898 	15140 	14786 	14582 	14000 	13678 	13321 	12814 	12512 	12121 b	: 	9379 	9374 	9104 	8513 	8031 	8057 	7385 
A1,MED_E,NAC,LT	6901 	6281 	5451 	4814 	4116 	3793 	3680 	3438 	11695 	11846 	10711 	10191 	10623 	10320 	8875 	6840 	5754 	5040 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A1,MED_E,NAC,LU	44482 b	44547 b	38551 b	35978 	34198 	34992 	33260 b	33746 	36410 	35518 	33987 	31635 	32328 	32744 	31699 	30187 	29342 	29605 	29183 	26874 b	23996 	22930 	21740 	21754 	20957 	20823 	18840 
A1,MED_E,NAC,LV	6443 	5338 	5376 	4670 	4174 	3675 	3541 	3465 	3343 	3166 	3089 	3139 	3045 	2739 	2284 	1842 	1423 	1335 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A1,MED_E,NAC,ME	4520 	4000 	4068 	3960 	3766 	3480 	3365 	3060 	3113 	3216 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A1,MED_E,NAC,MK	: 	: 	170650 	154700 	143200 	143150 	129800 	119700 	118900 	107640 	101820 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
